DATAFLOW,LAST UPDATE,freq,nace_r2,indic_sb,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,LV,2014,18.66,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,LV,2015,19.96,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,LV,2016,19.86,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,LV,2017,20.54,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,LV,2018,20.42,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,MT,2008,15.44,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,MT,2009,12.24,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,MT,2010,12.59,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,MT,2011,13.82,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,MT,2012,14.35,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,MT,2013,14.42,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,MT,2014,14,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,MT,2015,15.35,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,MT,2016,13.37,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,MT,2017,17.28,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,MT,2018,17.59,
