DATAFLOW,LAST UPDATE,freq,citizen,agedef,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,HR,2009,13213,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,HR,2010,8846,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,HR,2011,8534,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,HR,2012,8959,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,HR,2013,10378,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,HR,2014,10638,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,HR,2015,11706,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,HR,2016,13985,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,HR,2017,15553,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,HR,2018,26029,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,HR,2019,37726,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,HU,2008,37652,b
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,HU,2009,27894,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,HU,2010,25519,b
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,HU,2011,28018,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,HU,2012,33702,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,HU,2013,38968,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,HU,2014,54581,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,HU,2015,58344,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,HU,2016,53618,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,HU,2017,68070,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,HU,2018,82937,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,HU,2019,88581,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IE,2008,82592,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IE,2009,50604,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IE,2010,52339,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IE,2011,57292,b
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IE,2012,61324,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IE,2013,65539,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IE,2014,73519,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IE,2015,80792,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IE,2016,85185,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IE,2017,78499,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IE,2018,97712,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IE,2019,85630,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IS,2008,10288,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IS,2009,3921,b
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IS,2010,3948,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IS,2011,4073,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IS,2012,4960,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IS,2013,6406,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IS,2014,5368,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IS,2015,5635,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IS,2016,8710,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IS,2017,12116,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IS,2018,11830,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IS,2019,9872,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IT,2008,534712,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IT,2009,442940,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IT,2010,458856,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IT,2011,385793,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IT,2012,350772,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IT,2013,307454,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IT,2014,277631,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IT,2015,280078,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IT,2016,300823,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IT,2017,343440,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IT,2018,332324,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IT,2019,332778,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,LI,2008,578,b
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,LI,2009,584,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,LI,2010,591,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,LI,2011,650,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,LI,2012,671,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,LI,2013,696,
ESTAT:TPS00176(1.0),27/04/21 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,LI,2014,615,
